season,episode_num_in_season,title,directed_by,written_by,imdb_rating,desc,us_viewers,Rachel,Ross,Joey,Chandler,Monica,Phoebe
5,12,The One with Chandler's Work Laugh,Kevin S. Bright,Alicia Sky Varinaitis,8.2,Monica becomes annoyed at how Chandler sucks up to his boss by mimicking his boss's laugh and laughing at his tasteless jokes. Ross hooks up with Janice when he finds out Emily is getting married.,24820000,0,1,0,1,1,0
5,13,The One with Joey's Bag,Gail Mancuso,Story by: Michael CurtisTeleplay by: Seth Kurland,8.1,"Phoebe's grandmother dies, and Phoebe is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages.",24920000,1,0,1,1,1,1
5,14,The One Where Everybody Finds Out,Michael Lembeck,Alexa Junge,9.7,"When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship.",27700000,1,0,0,1,1,1
5,15,The One with the Girl Who Hits Joey,Kevin S. Bright,Adam Chase,8.5,Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.,29310000,0,1,1,1,1,0
5,16,The One with the Cop,Andrew Tsao,Story by: Alicia Sky VarinaitisTeleplay by: Gigi McCreery & Perry Rein,8.6,"Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk, and Ross tries to get his new sofa into his apartment.",26020000,0,1,1,0,1,1
5,17,The One with Rachel's Inadvertent Kiss,Shelley Jensen,Andrew Reich & Ted Cohen,8.5,Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.,24480000,1,1,1,0,1,1
5,18,The One Where Rachel Smokes,Todd Holland,Michael Curtis,7.9,"Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.",21880000,1,1,1,0,1,1
5,19,The One Where Ross Can't Flirt,Gail Mancuso,Doty Abrams,8.7,"As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced.",20850000,1,1,1,0,1,0
5,20,The One with the Ride Along,Gary Halvorson,Shana Goldberg-Meehan & Seth Kurland,8.2,The guys go on a ride-along with Gary. Rachel accidentally deletes a message from Emily on Ross's answering machine.,19630000,1,1,0,0,0,0
5,21,The One with the Ball,Gary Halvorson,Story by: Scott SilveriTeleplay by: Gregory S. Malins,8.4,"Gary asks Phoebe to move in with him but she's reluctant to and to overcome boredom, Ross and Joey start throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.",20920000,1,1,1,0,0,1
5,22,The One with Joey's Big Break,Gary Halvorson,Story by: Shana Goldberg-MeehanTeleplay by: Wil Calhoun,8.2,"Joey drives to Las Vegas to shoot to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross, but doesn't know why.",21280000,1,1,1,0,0,1
5,23,The One in Vegas: Part 1,Kevin S. Bright,Ted Cohen & Andrew Reich,8.8,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.,25900000,1,1,1,1,1,0
5,24,The One in Vegas: Part 2,Kevin S. Bright,Gregory S. Malins & Scott Silveri,9.1,Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.,25900000,1,1,0,1,1,1
6,1,The One After Vegas,Kevin S. Bright,Adam Chase,8.7,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.,27740000,1,1,1,1,1,1
6,2,The One Where Ross Hugs Rachel,Gail Mancuso,Shana Goldberg-Meehan,8.2,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.,22950000,1,1,1,1,1,1
6,3,The One with Ross's Denial,Gary Halvorson,Seth Kurland,8.1,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.,21600000,1,1,1,1,1,0
6,4,The One Where Joey Loses His Insurance,Gary Halvorson,Andrew Reich & Ted Cohen,8.5,"Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students, he puts on a fake English accent.",21070000,0,1,1,0,0,0
6,5,The One with Joey's Porsche,Gary Halvorson,Perry Rein & Gigi McCreery,8.1,"Ross and Rachel try to get an annulment, Joey finds the keys to a porsche in Central Perk, and Phoebe, Monica and Chandler babysit the triplets.",22390000,1,1,1,1,1,1
6,6,The One on the Last Night,David Schwimmer,Scott Silveri,8.5,"On the last night before Chandler and Monica move in together, Monica and Rachel argue, and Chandler tries to give Joey money to help him pay the bills.",23590000,1,0,1,1,1,0
6,7,The One Where Phoebe Runs,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,8.3,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.,22750000,1,0,1,1,1,1
6,8,The One with Ross' Teeth,Gary Halvorson,Story by: Andrew Reich & Ted CohenTeleplay by: Perry Rein & Gigi McCreery,8.5,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.,22140000,1,1,0,0,0,1
6,9,The One Where Ross Got High,Kevin S. Bright,Gregory S. Malins,9.2,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.,19170000,1,1,1,1,0,0
6,10,The One with the Routine,Kevin S. Bright,Brian Boyle,8.6,"On the set of ""Dick Clark's New Year's Rockin' Eve"", Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas presents.",22430000,1,1,1,1,1,1
6,11,The One with the Apothecary Table,Kevin S. Bright,Story by: Zachary RosenblattTeleplay by: Brian Boyle,8.1,"Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile, Rachel buys an apothecary table from a store that Phoebe hates.",22260000,1,0,1,1,1,1
6,12,The One with the Joke,Gary Halvorson,Story by: Shana Goldberg-MeehanTeleplay by: Andrew Reich & Ted Cohen,8,"Chandler and Ross argue over a joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk, and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend.",22330000,1,1,1,1,1,1
6,13,The One with Rachel's Sister,Gary Halvorson,Story by: Seth KurlandTeleplay by: Sherry Bilsing-Graham & Ellen Plummer,8.2,"Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile, Monica won't admit that she is sick.",24140000,1,1,0,0,1,0
6,14,The One Where Chandler Can't Cry,Kevin S. Bright,Andrew Reich & Ted Cohen,8.5,"Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry, Monica tries to make it happen. The gang discovers that Phoebe's sister, Ursula, is a porn star and is using Phoebe's name.",23820000,1,1,0,1,1,1
6,15,The One That Could Have Been: Part 1,Michael Lembeck,Gregory S. Malins & Adam Chase,8.5,Barry and Mindy's impending divorce prompts the gang to fantasize about what their lives might be like if they'd all taken different courses.,25890000,0,0,0,0,0,0
6,16,The One That Could Have Been: Part 2,Michael Lembeck,David Crane & Marta Kauffman,8.5,The gang continue to think about how different their lives could have been.,25890000,0,0,0,0,0,0
6,17,The One with Unagi,Gary Halvorson,Story by: Zachary RosenblattTeleplay by: Adam Chase,9.1,Rachel and Phoebe take self-defense classes. Chandler and Monica agree to give each other homemade presents for Valentine's Day. Joey tries to get money through medical research.,22210000,1,0,1,1,1,1
6,18,The One Where Ross Dates a Student,Gary Halvorson,Seth Kurland,8.3,Ross jeopardizes his career when he starts dating a student from one of his palaeontology classes. Rachel and Phoebe's apartment catches fire.,20520000,1,1,0,0,0,1
6,19,The One with Joey's Fridge,Ben Weiss,Story by: Seth KurlandTeleplay by: Gigi McCreery & Perry Rein,8.3,Joey tries to get everyone to pay for his broken fridge. Ross becomes paranoid when Elizabeth makes plans for spring break. Monica and Chandler compete against Phoebe to find Rachel a date.,21460000,1,1,1,1,1,1
6,20,The One with Mac and C.H.E.E.S.E.,Kevin S. Bright,Doty Abrams,7.3,Chandler forgets to write down a message for Joey when the time of his audition for the lead in a TV show is changed.,18810000,0,0,1,1,0,0
6,21,The One Where Ross Meets Elizabeth's Dad,Michael Lembeck,Story by: David J. LaganaTeleplay by: Scott Silveri,8.6,"Elizabeth's father takes an instant disliking to Ross. Joey almost gets fired from ""Mac and C.H.E.E.S.E."" after offending the operator of the robot. Phoebe writes a book based on Monica and Chandler.",20630000,0,1,1,1,1,1
6,22,The One Where Paul's the Man,Gary Halvorson,Story by: Brian CaldirolaTeleplay by: Sherry Bilsing-Graham & Ellen Plummer,9,Paul threatens to have Ross fired from the university if he continues to date Elizabeth. The girls put their names down on a waiting list for a wedding venue.,20010000,0,1,0,0,0,0
6,23,The One with the Ring,Gary Halvorson,Ted Cohen & Andrew Reich,8.6,Chandler and Phoebe go looking for an engagement ring for Monica. Rachel tries to get Paul to open up to her.,20870000,1,0,0,1,1,1
6,24,The One with the Proposal: Part 1,Kevin S. Bright,Shana Goldberg-Meehan & Scott Silveri,8.7,Chandler's plan to propose to Monica at dinner is interrupted by Richard. Joey accidentally buys a boat at a silent auction. Ross and Elizabeth's relationship comes to a crossroad.,30730000,0,1,1,1,1,0
6,25,The One with the Proposal: Part 2,Kevin S. Bright,Andrew Reich & Ted Cohen,9.3,"Chandler continues to pretend to hate the idea of marriage, unaware Richard wants Monica back. Meanwhile, Rachel and Phoebe discuss their 'back-up' plans.",30730000,1,0,0,1,1,1
7,1,The One with Monica's Thunder,Kevin S. Bright,Story by: Wil CalhounTeleplay by: David Crane & Marta Kauffman,8.4,"The gang celebrate Monica and Chandler's engagement, however Ross and Rachel upstage them by briefly reuniting. Joey tries to dress and act like a nineteen-year-old for an audition.",25540000,1,1,1,1,1,0
7,2,The One with Rachel's Book,Michael Lembeck,Andrew Reich & Ted Cohen,8.3,"Monica learns her parents have spent her entire wedding fund. Phoebe temporarily moves into Ross's apartment, bringing her massage clients with her. Joey mocks Rachel when he finds an erotic novel she is reading.",27930000,1,1,1,0,1,1
7,3,The One with Phoebe's Cookies,Gary Halvorson,Sherry Bilsing & Ellen Plummer,8.1,"Monica tries to figure out Phoebe's grandmother's secret cookie recipe. Meanwhile, Rachel tries to teach Joey how to sail, and Chandler has an awkward encounter when he tries to bond with Jack.",22720000,1,0,1,1,1,1
7,4,The One with Rachel's Assistant,David Schwimmer,Brian Boyle,8.1,"Chaos ensues when Monica and Chandler decide to share each other's secrets. Rachel gets a promotion and interviews for an assistant. Joey is offered the chance to go back on ""Days of Our Lives"".",22660000,1,0,1,1,1,0
7,5,The One with the Engagement Picture,Gary Halvorson,Story by: Earl DavisTeleplay by: Patty Lin,8,"Chandler struggles to photograph well for his and Monica's engagement picture. Joey teaches Tag how to pick up women, much to Rachel's annoyance. Phoebe and Ross date a couple who are divorcing.",24430000,1,1,1,1,1,1
7,6,The One with the Nap Partners,Gary Halvorson,Brian Buckner & Sebastian Jones,8.9,"Joey and Ross accidentally take a nap together - and much to their dismay, find that they like it. Phoebe and Rachel compete to become Monica's maid of honor.",22010000,1,1,1,0,1,1
7,7,The One with Ross's Library Book,David Schwimmer,Scott Silveri,8.5,"Ross and Chandler discovers that Ross's book is in the section of the library where students go to have sex. Monica and Chandler run into Janice and she immediately invites herself to the wedding. They try to avoid her. Meanwhile, Rachel and Phoebe befriend Joey's girlfriend.",23730000,1,1,1,1,1,1
7,8,The One Where Chandler Doesn't Like Dogs,Kevin S. Bright,Patty Lin,8.2,"Ross struggles to name all 50 states in a game. Joey compromises Rachel's chances with her crush, Tag, during Thanksgiving dinner. Phoebe sneaks a dog into the apartment, making Chandler extremely nervous.",16570000,1,1,1,1,0,1
7,9,The One with All the Candy,David Schwimmer,Wil Calhoun,8.1,"Monica makes candy to get to know her neighbours, Rachel and Tag try to hide their relationship at work and Ross buys Phoebe a bike.",21080000,1,1,0,0,1,1
7,10,The One with the Holiday Armadillo,Gary Halvorson,Gregory S. Malins,8.5,"Ross wants to introduce Ben to Hanukkah. In order to entice Rachel to move back into their refurbished apartment, Phoebe must drive a wedge between Rachel and current roomie Joey.",23260000,1,1,1,0,0,1
7,11,The One with All the Cheesecakes,Gary Halvorson,Shana Goldberg-Meehan,8.6,Chandler refuses to give back a cheesecake accidentally delivered to his apartment; Phoebe gets angry with Joey when he blows off dinner with her for a date.,24370000,0,0,1,1,0,1
7,12,The One Where They're Up All Night,Kevin S. Bright,Zachary Rosenblatt,8.6,"After the gang head up to the roof to see a passing comet, separate events unfold that lead to them all having a sleepless night.",22860000,0,0,0,0,0,0
7,13,The One Where Rosita Dies,Stephen Prime,Story by: Ellen Plummer & Sherry BilsingTeleplay by: Brian Buckner & Sebastian Jones,8.4,Rachel breaks Joey's armchair. Phoebe takes a temp job in a call centre. Ross and Monica find out their parents are selling their childhood home.,22240000,1,1,1,0,1,1
7,14,The One Where They All Turn Thirty,Ben Weiss,Story by: Vanessa McCarthyTeleplay by: Ellen Plummer & Sherry Bilsing,8.6,Rachel's 30th birthday prompts the rest of the gang to reminisce about their own 30th celebrations.,22400000,1,0,0,0,0,0
7,15,The One with Joey's New Brain,Kevin S. Bright,Story by: Sherry Bilsing & Ellen PlummerTeleplay by: Andrew Reich & Ted Cohen,8.4,"Joey gets an opportunity to rejoin ""Days of Our Lives"" when his comatose character is implanted with the brain of a female character. Joey approaches her to get some advice on how to play her character, but she's unaware that she's being written out of the show and freaks out at Joey. Later, she tries to give him some pointers, and they end up spending the night together. Ross tells Chandler and Monica that he has a surprise for their wedding, which turns out to be him playing the bagpipes - terribly, as it turns out. Rachel and Phoebe have their eye on a guy at the ...",21750000,1,1,1,1,1,1
7,16,The One with the Truth About London,David Schwimmer,Story by: Brian Buckner & Sebastian JonesTeleplay by: Zachary Rosenblatt,8.7,"Chandler is shocked to find out who Monica really wanted to sleep with the night they first got together. Meanwhile, Rachel gets into trouble with Ross when she teaches Ben practical jokes.",21220000,1,1,0,1,1,0
7,17,The One with the Cheap Wedding Dress,Kevin S. Bright,Story by: Brian Buckner & Sebastian JonesTeleplay by: Andrew Reich & Ted Cohen,8.3,"Monica takes the other girls to an overpriced store to choose her wedding dress, briefing them as if they were in the military since bargain-hunters are far more ruthless then Rachel can usually handle. The worst shopper is Megan: she grabs the dress Monica wants, then blackmails her over booking the swing band that's the only thing Chandler really wants for the wedding. Meanwhile, Ross and Joey independently meet and date Kristen while helping her move in. The rivals agree to let her choose after one date with each, but they get so carried away cheating on the deal ...",20840000,1,1,1,1,1,0
7,18,The One with Joey's Award,Gary Halvorson,Story by: Sherry Bilsing & Ellen PlummerTeleplay by: Brian Boyle,8.4,Joey is nominated for a Soapy Award for his part on Days of Our Lives and Rachel is his date to the ceremony. Joey doesn't win the award but takes someone else's award home. Rachel convinces him to take it back because he can't be happy with an award he didn't win. One of Ross' students failed the midterms because he is in love with Ross and can't concentrate in class so Ross changes his grade. But now more students come to Ross pretending to be in love with him in order to get a better grade. When Rachel and Joey take the Soapy back the real winner just throws it ...,17810000,1,1,1,0,0,0
7,19,The One with Ross and Monica's Cousin,Gary Halvorson,Andrew Reich & Ted Cohen,8.7,Joey auditions for a naked role in a big movie; Rachel and Phoebe plan Monica's wedding shower; Ross becomes attracted to his cousin after she visits.,16540000,1,1,1,0,1,1
7,20,The One with Rachel's Big Kiss,Gary Halvorson,Scott Silveri & Shana Goldberg-Meehan,8.3,Rachel's college friend can't remember a scandalous kiss from the past; Chandler and Ross argue for possession of Val Kilmer's tuxedo.,16300000,1,1,0,1,0,0
7,21,The One with the Vows,Gary Halvorson,Doty Abrams,7.4,"Monica and Chandler are getting married in four weeks and have to write their vows, but neither has a clue what to say, so they reflect on their past.",15650000,0,0,0,1,1,0
7,22,The One with Chandler's Dad,Kevin S. Bright & Gary Halvorson,Story by: Gregory S. MalinsTeleplay by: Brian Buckner & Sebastian Jones,8.3,Ross and Rachel hit the freeway together when Monica's Porsche shows up again; Chandler and Monica go off to Vegas to find Chandler's estranged dad.,17230000,1,1,0,1,1,0
7,23,The One with Monica and Chandler's Wedding: Part 1,Kevin S. Bright,Gregory S. Malins,8.9,"So close to the wedding, Chandler suddenly realizes the overwhelming meaning of getting married. Meanwhile, Joey acts opposite a famous actor in a movie, but can't bring himself to tell him that he spits when he says his lines.",30050000,0,0,1,1,0,0
7,24,The One with Monica and Chandler's Wedding: Part 2,Kevin S. Bright,Marta Kauffman & David Crane,9.2,Ross tries to find Chandler with Phoebe's help. Meanwhile Rachel tries to hinder Monica.,30050000,1,1,0,1,1,1
8,1,The One After I Do,Kevin S. Bright,David Crane & Marta Kauffman,8.7,The gang learns that Rachel is pregnant; Joey tries to impress a Broadway director who's dating Chandler's mom; Chandler's shoes make it hard for him to dance.,31700000,1,0,1,1,0,0
8,2,The One with the Red Sweater,David Schwimmer,Dana Klein Borkow,9.1,"Monica, Phoebe and Joey advise Rachel to tell the father about the pregnancy. Chandler and Ross lose the wedding photos.",30040000,1,1,1,1,1,1
8,3,The One Where Rachel Tells...,Sheldon Epps,Sherry Bilsing & Ellen Plummer,8.7,"Even on their honeymoon, Monica is pushy, and is annoyed that Chandler won't jump the line at the airport check-in - especially after the couple in front of them, also on their honeymoon, get bumped up to first class. They try to sneak into the first-class lounge, but are caught - but she at least manages to steal an orange. Joey and Phoebe find that Monica and Chandler have tricked them out of the keys to the master apartment; Joey hopes a false gas leak alert will make super Treeger use his key, but he makes a fireman use an axe, and the wrecked door calls for a big...",29200000,0,0,1,1,1,1
8,4,The One with the Videotape,Kevin S. Bright,Scott Silveri,9.3,"Ross and Rachel tell everyone about the night they were together. They have two different stories of how it happened until Ross accidentally reveals that he videotaped it. Not surprisingly, everyone wants to see it.",25580000,1,1,0,0,0,0
8,5,The One with Rachel's Date,Gary Halvorson,Brian Buckner & Sebastian Jones,8.1,"Phoebe dates Monica's sous-chef Tim and Monica doesn't fire him for Phoebe's sake. When Phoebe decides to dump Tim, Monica can finally fire him. Rachel has a date with Kash, a co-star on Days of Our Lives. Ross thinks it's weird because whoever takes Rachel out, takes his baby out too. He always pictured that his next child would grow up in a happy family. Rachel's date was terrible because she made the mistake of mentioning she was pregnant. Ross reassures her it isn't so bad because when she has the baby she will love someone more than she ever loved anyone.",25640000,1,1,0,0,1,1
8,6,The One with the Halloween Party,Gary Halvorson,Mark Kunerth,8.5,"Monica and Chandler decide to throw a Halloween party; Phoebe runs into Ursula and her fiancée, who knows nothing about the ""real"" Ursula.",26960000,0,0,0,1,1,1
8,7,The One with the Stain,Kevin S. Bright,R. Lee Fleming Jr.,7.8,"Chandler hires a maid, whom Monica suspects is stealing her clothing; Eric has trouble forgetting Ursula when he breaks up with her to date Phoebe.",24240000,0,0,0,1,1,1
8,8,The One with the Stripper,David Schwimmer,Andrew Reich & Ted Cohen,8.7,"Chandler finds out that Monica had a bachelorette party with a stripper, even though they promised not to have bachelor/bachelorette parties. Rachel takes Phoebe along to dinner with Rachel's dad, because she is afraid her dad will be really angry when she tells him she's pregnant. Mr. Green is delighted to hear he will be a grandfather, but freaks out when he finds out that Rachel isn't getting married - so she just tells him that Ross won't marry her. Monica feels bad about having had a bachelorette party, so she organizes a bachelor party including a stripper for ...",26540000,1,1,0,1,1,1
8,9,The One with the Rumor,Gary Halvorson,Shana Goldberg-Meehan,9.3,"Monica invites Will, an old school friend of her and Ross over for Thanksgiving dinner, unaware he isn't too fond of Rachel.",24240000,1,1,0,0,1,0
8,10,The One with Monica's Boots,Kevin S. Bright,Story by: Robert CarlockTeleplay by: Brian Buckner & Sebastian Jones,8,"Monica's expensive new boots hurt her feet, but she's determined to prove to Chandler that her purchase was worth it; Ben goes to school with Sting's son.",22440000,0,0,0,1,1,0
8,11,The One with Ross's Step Forward,Gary Halvorson,Robert Carlock,8,"Joey wants to take Rachel to dinner on a pretend date to practice his dating skills, but soon develops romantic feelings for her; Monica, Phoebe, and Chandler are addicted to Mrs. Pacman.",23850000,1,0,1,1,1,1
8,12,The One Where Joey Dates Rachel,David Schwimmer,Sherry Bilsing-Graham & Ellen Plummer,8.5,"Joey wants to take Rachel to dinner on a pretend date to practice his dating skills, but soon develops romantic feelings for her; gang addicted to Mrs. Pacman.",25530000,1,0,1,0,0,0
8,13,The One Where Chandler Takes a Bath,Ben Weiss,Vanessa McCarthy,8.5,Monica turns Chandler on to the concept of taking a bath to relax; Ross and Rachel toss baby names around while deciding whether to learn the baby's sex.,29240000,1,1,0,1,1,0
8,14,The One with the Secret Closet,Kevin S. Bright,Brian Buckner & Sebastian Jones,8.2,"Chandler's very curious about a locked closet, but Monica won't tell him what is inside.",28640000,0,0,0,1,1,0
8,15,The One with the Birthing Video,Kevin S. Bright,Dana Klein Borkow,8.3,"During Valentine's Day, Chandler discovers the miracle of birth seeing an extremely graphic video. Ross hides from Mona that Rachel is now living in his apartment",28640000,1,1,0,1,0,0
8,16,The One Where Joey Tells Rachel,Ben Weiss,Andrew Reich & Ted Cohen,8.2,"Ross freaks out when Joey tells him that he is in love with Rachel because Ross is afraid that they will get married and raise his kid together. Phoebe dates a guy called Don, who she thinks is Monica's soul-mate and introduces Don to Monica to see what will happen. Monica and Don get along perfectly. Ross goes to tell Joey that he doesn't hate him and Joey promises to never act on his feelings for Rachel because he won't jeopardize his friendship to Ross. But when Ross realizes that Joey really is in love for the first time he tells Joey to tell Rachel. When Joey ...",27520000,1,1,1,0,1,1
8,17,The One with the Tea Leaves,Gary Halvorson,Story by: R. Lee Fleming Jr.Teleplay by: Steven Rosenhaus,8,"Chandler and Monica are happy together - their worst problem is his habit to put CDs in the wrong box and their different taste in music. Rachel is desperate to get back on good terms with Joey, so she takes Monica's advice to change the subject to something work-related. However in another uncomfortable conversation she manages to convince Joey that her boss, Mr. Zelner, wants to buy her baby. When Phoebe resumes reading tea leaves, she sees that she'll meet the man of her dreams soon, and takes that to be Jim, who she keeps bumping into. However she soon finds he ...",26300000,1,0,1,1,1,1
8,18,The One in Massapequa,Gary Halvorson,Story by: Peter TibbalsTeleplay by: Mark Kunerth,8.2,Everyone prepares for the Gellers' 35th wedding anniversary in Long Island; Monica struggles to prepare the perfect toast; Phoebe invites her new boyfriend Parker.,22050000,0,0,0,0,1,1
8,19,The One with Joey's Interview,Gary Halvorson,Doty Abrams,7.4,"Joey prepares for his epic interview with Soap Opera Digest, reminiscing about his past acting experiences, his friends and his romantic life.",22590000,0,0,1,0,0,0
8,20,The One with the Baby Shower,Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,8.2,"Monica and Phoebe throw Rachel a baby shower but forget to invite Rachel's mom. Rachel realizes she has no idea how to look after the baby after the birth. Meanwhile, Joey auditions for a job as a host for a new game show called ""Bamboozled"", and Chandler and Ross help him practice.",22240000,1,1,1,1,1,1
8,21,The One with the Cooking Class,Gary Halvorson,Story by: Dana Klein BorkowTeleplay by: Brian Buckner & Sebastian Jones,8.1,"Monica's restaurant get a bad review. After confronting the critic who wrote it, she decides to join a cooking class, with Joey in tow. Rachel gets jealous when Ross hits it off with a woman at the baby department store.",23970000,1,1,1,0,1,0
8,22,The One Where Rachel Is Late,Gary Halvorson,Shana Goldberg-Meehan,8.3,Monica and Phoebe bet on when Rachel's baby will be born as the due date comes and goes as Rachel becomes extremely irritable; Chandler falls asleep at Joey's big movie premiere.,24310000,1,0,1,1,1,1
8,23,The One Where Rachel Has a Baby: Part 1,Kevin S. Bright,Scott Silveri,8.8,"Ross and Rachel go to the hospital to have their baby, but it's a long labor. They get stuck in a semi-private room, and many other couples come and go before Rachel is ready to deliver - the last couple being Janice and her new husband. Chandler and Monica decide to start trying to have a baby.",34910000,1,1,0,1,1,0
8,24,The One Where Rachel Has a Baby: Part 2,Kevin S. Bright,Marta Kauffman & David Crane,8.9,"After Rachel gives birth to her baby, she must confront relationship issues around her.",34910000,1,0,0,0,0,0
9,1,The One Where No One Proposes,Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,8.6,"Rachel, Ross and Joey get together in a guyand figure out that no one was actually going to propose; Mr. Geller walks in on Monica and Chandler having sex.",34010000,1,1,1,1,1,0
9,2,The One Where Emma Cries,Sheldon Epps,Dana Klein Borkow,8.5,"Chandler, having trouble getting enough sleep at home, falls asleep in a meeting and accidentally agrees to run his company's Tulsa office.",28930000,0,0,0,1,0,0
9,3,The One with the Pediatrician,Roger Christiansen,Brian Buckner & Sebastian Jones,8.2,"Joey arranges a blind date for Phoebe. Chandler is leaving for Tulsa without Monica, because she has got a great job offer.",26620000,0,0,1,1,1,1
9,4,The One with the Sharks,Ben Weiss,Andrew Reich & Ted Cohen,8.1,Monica thinks Chandler is aroused by shark documentaries.,25810000,0,0,0,1,1,0
9,5,The One with Phoebe's Birthday Dinner,David Schwimmer,Scott Silveri,8.5,"Phoebe will celebrate her birthday by having a dinner with her friends at a fancy restaurant. But everybody is late to the dinner, due to a series of problems.",24460000,0,0,0,0,0,1
9,6,The One with the Male Nanny,Kevin S. Bright,David Crane & Marta Kauffman,8.3,"Looking for a new nanny, Ross and Rachel hire a male nanny named Sandy. Monica tells Chandler that a guy at work is the funniest guy she has ever met.",27510000,1,1,0,1,1,0
9,7,The One with Ross's Inappropriate Song,Gary Halvorson,Robert Carlock,8.6,"Ross finds a way to make Emma laugh - singing ""Baby Got Back."" Meanwhile, Phoebe meets Mike's parents, and Joey and Chandler find a video tape in Richard's apartment.",25350000,0,1,1,1,0,1
9,8,The One with Rachel's Other Sister,Kevin S. Bright,Shana Goldberg-Meehan,8.8,Rachel's middle sister shows up at Thanksgiving and causes arguments amongst the gang.,26760000,1,0,0,0,0,0
9,9,The One with Rachel's Phone Number,Ben Weiss,Mark Kunerth,8.1,"Rachel is ready to start hanging out again. She and Phoebe go to a bar, where they meet two guys.",25420000,1,0,0,0,0,1
9,10,The One with Christmas in Tulsa,Kevin S. Bright,Doty Abrams,7.4,"Chandler must spend Christmas in Tulsa, which Monica thinks he might have an affair with a former Miss Oklahoma runner-up while he is there. Chandler comes home early to announce that he quit his job.",22280000,0,0,0,1,1,0
9,11,The One Where Rachel Goes Back to Work,Gary Halvorson,Story by: Judd RubinTeleplay by: Peter Tibbals,7.9,"Chandler starts looking for a job and is anxious about having a baby, Rachel decides to go back to work, and Phoebe works as an extra on Joey's show.",23670000,1,0,1,1,0,1
9,12,The One with Phoebe's Rats,Ben Weiss,Story by: Dana Klein BorkowTeleplay by: Brian Buckner & Sebastian Jones,7.9,Ross makes Joey stay away from their new nanny. Mike accidentally kills Phoebe's rat. Gavin gives Rachel a scarf and a kiss for her birthday.,23660000,1,1,1,0,0,1
9,13,The One Where Monica Sings,Gary Halvorson,Story by: Sherry Bilsing-Graham & Ellen PlummerTeleplay by: Steven Rosenhaus,8.1,A night at Mike's piano bar gives Monica a very showy moment in the spotlight; Chandler employs his secret skill to repair Joey's botched eyebrow-waxing job.,25820000,0,0,1,1,1,0
9,14,The One with the Blind Dates,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,8.2,Phoebe and Joey purposely set Ross and Rachel up on bad dates in the hopes they'll get back together. Monica and Chandler babysit Emma.,23370000,1,1,1,1,1,1
